x,exp1
-0.87151,-0.21462
-0.84595,-0.37002
-0.83745,-0.44176
-0.81191,-0.60913
-0.77783,-0.81833
-0.70526,-1.14097
-0.66687,-1.33219
-0.61988,-1.5114
-0.60287,-1.64292
-0.49602,-2.00126
-0.37193,-2.30564
-0.30774,-2.46082
-0.30334,-2.37703
-0.23911,-2.49032
-0.1791,-2.55577
-0.11481,-2.62718
-0.05907,-2.66873
-0.05469,-2.60289
0.04403,-2.59033
0.13856,-2.50601
0.23743,-2.37379
0.32764,-2.31342
0.42661,-2.10343
0.52998,-1.79768
0.59458,-1.61781
0.67667,-1.17458
0.73291,-0.80929
0.74556,-0.99468
0.7889,-0.6534
0.81903,-0.58142
0.84952,-0.21628
