K_bohr_inv,f_c
0.0000,1.29437360e+00
0.0200,1.29406710e+00
0.0400,1.29314802e+00
0.0600,1.29161760e+00
0.0800,1.28947789e+00
0.1000,1.28673176e+00
0.1200,1.28338290e+00
0.1400,1.27943577e+00
0.1600,1.27489565e+00
0.1800,1.26976856e+00
0.2000,1.26406131e+00
0.2200,1.25778141e+00
0.2400,1.25093711e+00
0.2600,1.24353737e+00
0.2800,1.23559181e+00
0.3000,1.22711070e+00
0.3200,1.21810493e+00
0.3400,1.20858601e+00
0.3600,1.19856599e+00
0.3800,1.18805750e+00
0.4000,1.17707364e+00
0.4200,1.16562800e+00
0.4400,1.15373463e+00
0.4600,1.14140798e+00
0.4800,1.12866290e+00
0.5000,1.11551455e+00
0.5200,1.10197845e+00
0.5400,1.08807036e+00
0.5600,1.07380631e+00
0.5800,1.05920253e+00
0.6000,1.04427544e+00
0.6200,1.02904158e+00
0.6400,1.01351764e+00
0.6600,9.97720369e-01
0.6800,9.81666554e-01
0.7000,9.65373016e-01
0.7200,9.48856555e-01
0.7400,9.32133932e-01
0.7600,9.15221834e-01
0.7800,8.98136851e-01
0.8000,8.80895444e-01
0.8200,8.63513928e-01
0.8400,8.46008438e-01
0.8600,8.28394913e-01
0.8800,8.10689071e-01
0.9000,7.92906387e-01
0.9200,7.75062077e-01
0.9400,7.57171075e-01
0.9600,7.39248021e-01
0.9800,7.21307240e-01
1.0000,7.03362731e-01
1.0200,6.85428153e-01
1.0400,6.67516811e-01
1.0600,6.49641647e-01
1.0800,6.31815231e-01
1.1000,6.14049749e-01
1.1200,5.96356999e-01
1.1400,5.78748384e-01
1.1600,5.61234906e-01
1.1800,5.43827161e-01
1.2000,5.26535338e-01
1.2200,5.09369218e-01
1.2400,4.92338167e-01
1.2600,4.75451144e-01
1.2800,4.58716693e-01
1.3000,4.42142953e-01
1.3200,4.25737653e-01
1.3400,4.09508118e-01
1.3600,3.93461274e-01
1.3800,3.77603649e-01
1.4000,3.61941382e-01
1.4200,3.46480224e-01
1.4400,3.31225547e-01
1.4600,3.16182350e-01
1.4800,3.01355263e-01
1.5000,2.86748560e-01
1.5200,2.72366162e-01
1.5400,2.58211645e-01
1.5600,2.44288252e-01
1.5800,2.30598898e-01
1.6000,2.17146178e-01
1.6200,2.03932381e-01
1.6400,1.90959492e-01
1.6600,1.78229209e-01
1.6800,1.65742944e-01
1.7000,1.53501840e-01
1.7200,1.41506775e-01
1.7400,1.29758373e-01
1.7600,1.18257015e-01
1.7800,1.07002845e-01
1.8000,9.59957845e-02
1.8200,8.52355356e-02
1.8400,7.47215946e-02
1.8600,6.44532593e-02
1.8800,5.44296385e-02
1.9000,4.46496605e-02
1.9200,3.51120823e-02
1.9400,2.58154975e-02
1.9600,1.67583454e-02
1.9800,7.93891868e-03
2.0000,-6.44628048e-04
2.0200,-8.99427074e-03
2.0400,-1.71121080e-02
2.0600,-2.50003536e-02
2.0800,-3.26613292e-02
2.1000,-4.00974572e-02
2.1200,-4.73112537e-02
2.1400,-5.43053220e-02
2.1600,-6.10823461e-02
2.1800,-6.76450840e-02
2.2000,-7.39963619e-02
2.2200,-8.01390685e-02
2.2400,-8.60761489e-02
2.2600,-9.18105993e-02
2.2800,-9.73454616e-02
2.3000,-1.02683819e-01
2.3200,-1.07828789e-01
2.3400,-1.12783522e-01
2.3600,-1.17551194e-01
2.3800,-1.22135004e-01
2.4000,-1.26538168e-01
2.4200,-1.30763917e-01
2.4400,-1.34815493e-01
2.4600,-1.38696144e-01
2.4800,-1.42409122e-01
2.5000,-1.45957679e-01
2.5200,-1.49345063e-01
2.5400,-1.52574518e-01
2.5600,-1.55649279e-01
2.5800,-1.58572569e-01
2.6000,-1.61347597e-01
2.6200,-1.63977557e-01
2.6400,-1.66465625e-01
2.6600,-1.68814955e-01
2.6800,-1.71028679e-01
2.7000,-1.73109907e-01
2.7200,-1.75061720e-01
2.7400,-1.76887175e-01
2.7600,-1.78589297e-01
2.7800,-1.80171082e-01
2.8000,-1.81635496e-01
2.8200,-1.82985468e-01
2.8400,-1.84223898e-01
2.8600,-1.85353649e-01
2.8800,-1.86377548e-01
2.9000,-1.87298385e-01
2.9200,-1.88118916e-01
2.9400,-1.88841854e-01
2.9600,-1.89469878e-01
2.9800,-1.90005627e-01
3.0000,-1.90451697e-01
3.0200,-1.90810650e-01
3.0400,-1.91085003e-01
3.0600,-1.91277234e-01
3.0800,-1.91389782e-01
3.1000,-1.91425043e-01
3.1200,-1.91385373e-01
3.1400,-1.91273086e-01
3.1600,-1.91090457e-01
3.1800,-1.90839719e-01
3.2000,-1.90523062e-01
3.2200,-1.90142638e-01
3.2400,-1.89700557e-01
3.2600,-1.89198888e-01
3.2800,-1.88639661e-01
3.3000,-1.88024864e-01
3.3200,-1.87356447e-01
3.3400,-1.86636318e-01
3.3600,-1.85866347e-01
3.3800,-1.85048365e-01
3.4000,-1.84184164e-01
3.4200,-1.83275498e-01
3.4400,-1.82324082e-01
3.4600,-1.81331594e-01
3.4800,-1.80299676e-01
3.5000,-1.79229930e-01
3.5200,-1.78123924e-01
3.5400,-1.76983190e-01
3.5600,-1.75809225e-01
3.5800,-1.74603488e-01
3.6000,-1.73367407e-01
3.6200,-1.72102374e-01
3.6400,-1.70809747e-01
3.6600,-1.69490852e-01
3.6800,-1.68146982e-01
3.7000,-1.66779398e-01
3.7200,-1.65389329e-01
3.7400,-1.63977972e-01
3.7600,-1.62546495e-01
3.7800,-1.61096035e-01
3.8000,-1.59627699e-01
3.8200,-1.58142565e-01
3.8400,-1.56641684e-01
3.8600,-1.55126075e-01
3.8800,-1.53596734e-01
3.9000,-1.52054626e-01
3.9200,-1.50500692e-01
3.9400,-1.48935844e-01
3.9600,-1.47360971e-01
3.9800,-1.45776936e-01
4.0000,-1.44184576e-01
4.0200,-1.42584706e-01
4.0400,-1.40978115e-01
4.0600,-1.39365571e-01
4.0800,-1.37747816e-01
4.1000,-1.36125572e-01
4.1200,-1.34499540e-01
4.1400,-1.32870396e-01
4.1600,-1.31238799e-01
4.1800,-1.29605384e-01
4.2000,-1.27970769e-01
4.2200,-1.26335550e-01
4.2400,-1.24700303e-01
4.2600,-1.23065589e-01
4.2800,-1.21431947e-01
4.3000,-1.19799899e-01
4.3200,-1.18169949e-01
4.3400,-1.16542586e-01
4.3600,-1.14918279e-01
4.3800,-1.13297482e-01
4.4000,-1.11680634e-01
4.4200,-1.10068156e-01
4.4400,-1.08460455e-01
4.4600,-1.06857924e-01
4.4800,-1.05260940e-01
4.5000,-1.03669866e-01
4.5200,-1.02085050e-01
4.5400,-1.00506830e-01
4.5600,-9.89355258e-02
4.5800,-9.73714484e-02
4.6000,-9.58148943e-02
4.6200,-9.42661481e-02
4.6400,-9.27254823e-02
4.6600,-9.11931579e-02
4.6800,-8.96694244e-02
4.7000,-8.81545203e-02
4.7200,-8.66486734e-02
4.7400,-8.51521008e-02
4.7600,-8.36650095e-02
4.7800,-8.21875964e-02
4.8000,-8.07200489e-02
4.8200,-7.92625449e-02
4.8400,-7.78152529e-02
4.8600,-7.63783328e-02
4.8800,-7.49519356e-02
4.9000,-7.35362039e-02
4.9200,-7.21312720e-02
4.9400,-7.07372664e-02
4.9600,-6.93543058e-02
4.9800,-6.79825011e-02
5.0000,-6.66219561e-02
5.0200,-6.52727676e-02
5.0400,-6.39350252e-02
5.0600,-6.26088119e-02
5.0800,-6.12942042e-02
5.1000,-5.99912724e-02
5.1200,-5.87000805e-02
5.1400,-5.74206866e-02
5.1600,-5.61531430e-02
5.1800,-5.48974964e-02
5.2000,-5.36537883e-02
5.2200,-5.24220546e-02
5.2400,-5.12023264e-02
5.2600,-4.99946297e-02
5.2800,-4.87989857e-02
5.3000,-4.76154113e-02
5.3200,-4.64439185e-02
5.3400,-4.52845152e-02
5.3600,-4.41372052e-02
5.3800,-4.30019881e-02
5.4000,-4.18788596e-02
5.4200,-4.07678118e-02
5.4400,-3.96688329e-02
5.4600,-3.85819079e-02
5.4800,-3.75070180e-02
5.5000,-3.64441416e-02
5.5200,-3.53932535e-02
5.5400,-3.43543258e-02
5.5600,-3.33273274e-02
5.5800,-3.23122246e-02
5.6000,-3.13089809e-02
5.6200,-3.03175570e-02
5.6400,-2.93379115e-02
5.6600,-2.83700002e-02
5.6800,-2.74137767e-02
5.7000,-2.64691925e-02
5.7200,-2.55361968e-02
5.7400,-2.46147368e-02
5.7600,-2.37047578e-02
5.7800,-2.28062032e-02
5.8000,-2.19190145e-02
5.8200,-2.10431315e-02
5.8400,-2.01784926e-02
5.8600,-1.93250343e-02
5.8800,-1.84826919e-02
5.9000,-1.76513989e-02
5.9200,-1.68310879e-02
5.9400,-1.60216899e-02
5.9600,-1.52231348e-02
5.9800,-1.44353513e-02
6.0000,-1.36582671e-02
6.0200,-1.28918086e-02
6.0400,-1.21359016e-02
6.0600,-1.13904707e-02
6.0800,-1.06554397e-02
6.1000,-9.93073160e-03
6.1200,-9.21626872e-03
6.1400,-8.51197255e-03
6.1600,-7.81776397e-03
6.1800,-7.13356324e-03
6.2000,-6.45929004e-03
6.2200,-5.79486354e-03
6.2400,-5.14020242e-03
6.2600,-4.49522493e-03
6.2800,-3.85984892e-03
6.3000,-3.23399188e-03
6.3200,-2.61757096e-03
6.3400,-2.01050305e-03
6.3600,-1.41270479e-03
6.3800,-8.24092601e-04
6.4000,-2.44582715e-04
6.4200,3.25908772e-04
6.4400,8.87465883e-04
6.4600,1.44017273e-03
6.4800,1.98411347e-03
6.5000,2.51937232e-03
6.5200,3.04603345e-03
6.5400,3.56418104e-03
6.5600,4.07389921e-03
6.5800,4.57527200e-03
6.6000,5.06838335e-03
6.6200,5.55331709e-03
6.6400,6.03015689e-03
6.6600,6.49898626e-03
6.6800,6.95988852e-03
6.7000,7.41294678e-03
6.7200,7.85824394e-03
6.7400,8.29586264e-03
6.7600,8.72588527e-03
6.7800,9.14839392e-03
6.8000,9.56347042e-03
6.8200,9.97119626e-03
6.8400,1.03716526e-02
6.8600,1.07649203e-02
6.8800,1.11510798e-02
6.9000,1.15302113e-02
