r_bohr,u_c,V_H_c
0.00200,3.07654364e-02,1.09083362e+00
0.00400,5.92075008e-02,1.09116662e+00
0.00600,8.54283874e-02,1.09110451e+00
0.00800,1.09526764e-01,1.09069170e+00
0.01000,1.31597815e-01,1.08996896e+00
0.01200,1.51733300e-01,1.08897373e+00
0.01400,1.70021622e-01,1.08774030e+00
0.01600,1.86547907e-01,1.08630008e+00
0.01800,2.01394090e-01,1.08468176e+00
0.02000,2.14639001e-01,1.08291152e+00
0.02200,2.26358464e-01,1.08101324e+00
0.02400,2.36625386e-01,1.07900859e+00
0.02600,2.45509859e-01,1.07691729e+00
0.02800,2.53079249e-01,1.07475717e+00
0.03000,2.59398298e-01,1.07254436e+00
0.03200,2.64529215e-01,1.07029341e+00
0.03400,2.68531765e-01,1.06801738e+00
0.03600,2.71463365e-01,1.06572801e+00
0.03800,2.73379168e-01,1.06343577e+00
0.04000,2.74332151e-01,1.06114998e+00
0.04200,2.74373193e-01,1.05887892e+00
0.04400,2.73551160e-01,1.05662988e+00
0.04600,2.71912978e-01,1.05440926e+00
0.04800,2.69503711e-01,1.05222262e+00
0.05000,2.66366630e-01,1.05007479e+00
0.05200,2.62543282e-01,1.04796991e+00
0.05400,2.58073556e-01,1.04591147e+00
0.05600,2.52995747e-01,1.04390238e+00
0.05800,2.47346617e-01,1.04194505e+00
0.06000,2.41161455e-01,1.04004138e+00
0.06200,2.34474127e-01,1.03819286e+00
0.06400,2.27317138e-01,1.03640056e+00
0.06600,2.19721677e-01,1.03466522e+00
0.06800,2.11717670e-01,1.03298722e+00
0.07000,2.03333827e-01,1.03136669e+00
0.07200,1.94597685e-01,1.02980347e+00
0.07400,1.85535655e-01,1.02829717e+00
0.07600,1.76173061e-01,1.02684720e+00
0.07800,1.66534185e-01,1.02545277e+00
0.08000,1.56642298e-01,1.02411296e+00
0.08200,1.46519704e-01,1.02282666e+00
0.08400,1.36187773e-01,1.02159266e+00
0.08600,1.25666975e-01,1.02040966e+00
0.08800,1.14976913e-01,1.01927622e+00
0.09000,1.04136356e-01,1.01819087e+00
0.09200,9.31632668e-02,1.01715203e+00
