K_bohr_inv,f_c
0.0000,8.17625884e-01
0.0200,8.17574167e-01
0.0400,8.17419032e-01
0.0600,8.17160532e-01
0.0800,8.16798753e-01
0.1000,8.16333816e-01
0.1200,8.15765876e-01
0.1400,8.15095124e-01
0.1600,8.14321783e-01
0.1800,8.13446111e-01
0.2000,8.12468401e-01
0.2200,8.11388978e-01
0.2400,8.10208201e-01
0.2600,8.08926463e-01
0.2800,8.07544190e-01
0.3000,8.06061840e-01
0.3200,8.04479904e-01
0.3400,8.02798905e-01
0.3600,8.01019399e-01
0.3800,7.99141972e-01
0.4000,7.97167241e-01
0.4200,7.95095856e-01
0.4400,7.92928496e-01
0.4600,7.90665869e-01
0.4800,7.88308714e-01
0.5000,7.85857799e-01
0.5200,7.83313920e-01
0.5400,7.80677902e-01
0.5600,7.77950596e-01
0.5800,7.75132883e-01
0.6000,7.72225668e-01
0.6200,7.69229883e-01
0.6400,7.66146485e-01
0.6600,7.62976458e-01
0.6800,7.59720809e-01
0.7000,7.56380567e-01
0.7200,7.52956788e-01
0.7400,7.49450548e-01
0.7600,7.45862945e-01
0.7800,7.42195099e-01
0.8000,7.38448152e-01
0.8200,7.34623264e-01
0.8400,7.30721614e-01
0.8600,7.26744403e-01
0.8800,7.22692846e-01
0.9000,7.18568180e-01
0.9200,7.14371653e-01
0.9400,7.10104535e-01
0.9600,7.05768107e-01
0.9800,7.01363667e-01
1.0000,6.96892526e-01
1.0200,6.92356008e-01
1.0400,6.87755452e-01
1.0600,6.83092204e-01
1.0800,6.78367627e-01
1.1000,6.73583090e-01
1.1200,6.68739975e-01
1.1400,6.63839670e-01
1.1600,6.58883573e-01
1.1800,6.53873091e-01
1.2000,6.48809635e-01
1.2200,6.43694626e-01
1.2400,6.38529486e-01
1.2600,6.33315647e-01
1.2800,6.28054541e-01
1.3000,6.22747607e-01
1.3200,6.17396284e-01
1.3400,6.12002014e-01
1.3600,6.06566243e-01
1.3800,6.01090416e-01
1.4000,5.95575977e-01
1.4200,5.90024372e-01
1.4400,5.84437045e-01
1.4600,5.78815439e-01
1.4800,5.73160994e-01
1.5000,5.67475148e-01
1.5200,5.61759336e-01
1.5400,5.56014987e-01
1.5600,5.50243528e-01
1.5800,5.44446380e-01
1.6000,5.38624957e-01
1.6200,5.32780668e-01
1.6400,5.26914917e-01
1.6600,5.21029098e-01
1.6800,5.15124599e-01
1.7000,5.09202798e-01
1.7200,5.03265066e-01
1.7400,4.97312765e-01
1.7600,4.91347246e-01
1.7800,4.85369851e-01
1.8000,4.79381911e-01
1.8200,4.73384745e-01
1.8400,4.67379663e-01
1.8600,4.61367962e-01
1.8800,4.55350927e-01
1.9000,4.49329829e-01
1.9200,4.43305929e-01
1.9400,4.37280473e-01
1.9600,4.31254693e-01
1.9800,4.25229808e-01
2.0000,4.19207023e-01
2.0200,4.13187528e-01
2.0400,4.07172498e-01
2.0600,4.01163094e-01
2.0800,3.95160460e-01
2.1000,3.89165727e-01
2.1200,3.83180007e-01
2.1400,3.77204399e-01
2.1600,3.71239983e-01
2.1800,3.65287826e-01
2.2000,3.59348975e-01
2.2200,3.53424462e-01
2.2400,3.47515302e-01
2.2600,3.41622493e-01
2.2800,3.35747014e-01
2.3000,3.29889829e-01
2.3200,3.24051884e-01
2.3400,3.18234107e-01
2.3600,3.12437407e-01
2.3800,3.06662678e-01
2.4000,3.00910795e-01
2.4200,2.95182614e-01
2.4400,2.89478974e-01
2.4600,2.83800697e-01
