r_bohr,u_c
0.00200,3.35448169e-02
0.00400,6.56212118e-02
0.00600,9.62687876e-02
0.00800,1.25526304e-01
0.01000,1.53431682e-01
0.01200,1.80022002e-01
0.01400,2.05333516e-01
0.01600,2.29401651e-01
0.01800,2.52261020e-01
0.02000,2.73945426e-01
0.02200,2.94487880e-01
0.02400,3.13920608e-01
0.02600,3.32275064e-01
0.02800,3.49581941e-01
0.03000,3.65871189e-01
0.03200,3.81172023e-01
0.03400,3.95512942e-01
0.03600,4.08921737e-01
0.03800,4.21425511e-01
0.04000,4.33050693e-01
0.04200,4.43823047e-01
0.04400,4.53767694e-01
0.04600,4.62909119e-01
0.04800,4.71271191e-01
0.05000,4.78877176e-01
0.05200,4.85749750e-01
0.05400,4.91911012e-01
0.05600,4.97382500e-01
0.05800,5.02185204e-01
0.06000,5.06339579e-01
0.06200,5.09865558e-01
0.06400,5.12782565e-01
0.06600,5.15109529e-01
0.06800,5.16864892e-01
0.07000,5.18066629e-01
0.07200,5.18732251e-01
0.07400,5.18878823e-01
0.07600,5.18522973e-01
0.07800,5.17680903e-01
0.08000,5.16368400e-01
0.08200,5.14600846e-01
0.08400,5.12393231e-01
0.08600,5.09760159e-01
0.08800,5.06715860e-01
0.09000,5.03274201e-01
0.09200,4.99448692e-01
0.09400,4.95252496e-01
0.09600,4.90698440e-01
0.09800,4.85799022e-01
0.10000,4.80566419e-01
0.10200,4.75012494e-01
0.10400,4.69148808e-01
0.10600,4.62986623e-01
0.10800,4.56536913e-01
0.11000,4.49810367e-01
0.11200,4.42817403e-01
0.11400,4.35568167e-01
0.11600,4.28072546e-01
0.11800,4.20340171e-01
0.12000,4.12380422e-01
0.12200,4.04202441e-01
0.12400,3.95815130e-01
0.12600,3.87227162e-01
0.12800,3.78446982e-01
0.13000,3.69482819e-01
0.13200,3.60342686e-01
0.13400,3.51034387e-01
0.13600,3.41565524e-01
0.13800,3.31943496e-01
0.14000,3.22175511e-01
0.14200,3.12268588e-01
0.14400,3.02229560e-01
0.14600,2.92065078e-01
0.14800,2.81781620e-01
0.15000,2.71385491e-01
0.15200,2.60882827e-01
0.15400,2.50279601e-01
0.15600,2.39581628e-01
0.15800,2.28794564e-01
0.16000,2.17923915e-01
0.16200,2.06975037e-01
0.16400,1.95953141e-01
0.16600,1.84863298e-01
0.16800,1.73710439e-01
0.17000,1.62499360e-01
0.17200,1.51234725e-01
0.17400,1.39921070e-01
0.17600,1.28562805e-01
0.17800,1.17164217e-01
0.18000,1.05729474e-01
0.18200,9.42626260e-02
0.18400,8.27676093e-02
0.18600,7.12482485e-02
0.18800,5.97082594e-02
0.19000,4.81512512e-02
0.19200,3.65807297e-02
0.19400,2.50000991e-02
0.19600,1.34126645e-02
0.19800,1.82163460e-03
0.20000,-9.76987624e-03
0.20200,-2.13588459e-02
0.20400,-3.29423419e-02
0.20600,-4.45175200e-02
0.20800,-5.60816212e-02
0.21000,-6.76319704e-02
0.21200,-7.91659740e-02
0.21400,-9.06811183e-02
0.21600,-1.02174967e-01
0.21800,-1.13645161e-01
0.22000,-1.25089413e-01
0.22200,-1.36505510e-01
0.22400,-1.47891310e-01
0.22600,-1.59244737e-01
0.22800,-1.70563786e-01
0.23000,-1.81846516e-01
0.23200,-1.93091048e-01
0.23400,-2.04295569e-01
0.23600,-2.15458326e-01
0.23800,-2.26577623e-01
0.24000,-2.37651826e-01
0.24200,-2.48679355e-01
0.24400,-2.59658685e-01
0.24600,-2.70588348e-01
0.24800,-2.81466924e-01
0.25000,-2.92293050e-01
0.25200,-3.03065408e-01
0.25400,-3.13782731e-01
0.25600,-3.24443800e-01
0.25800,-3.35047442e-01
0.26000,-3.45592529e-01
0.26200,-3.56077978e-01
0.26400,-3.66502748e-01
0.26600,-3.76865842e-01
0.26800,-3.87166301e-01
0.27000,-3.97403210e-01
0.27200,-4.07575690e-01
0.27400,-4.17682900e-01
0.27600,-4.27724038e-01
0.27800,-4.37698336e-01
0.28000,-4.47605064e-01
0.28200,-4.57443523e-01
0.28400,-4.67213051e-01
0.28600,-4.76913016e-01
0.28800,-4.86542818e-01
0.29000,-4.96101891e-01
0.29200,-5.05589695e-01
0.29400,-5.15005722e-01
0.29600,-5.24349493e-01
0.29800,-5.33620557e-01
0.30000,-5.42818487e-01
0.30200,-5.51942888e-01
0.30400,-5.60993386e-01
0.30600,-5.69969636e-01
0.30800,-5.78871314e-01
0.31000,-5.87698124e-01
0.31200,-5.96449789e-01
0.31400,-6.05126058e-01
0.31600,-6.13726701e-01
0.31800,-6.22251509e-01
0.32000,-6.30700295e-01
0.32200,-6.39072892e-01
0.32400,-6.47369151e-01
0.32600,-6.55588946e-01
0.32800,-6.63732168e-01
0.33000,-6.71798725e-01
0.33200,-6.79788544e-01
0.33400,-6.87701569e-01
0.33600,-6.95537763e-01
0.33800,-7.03297101e-01
0.34000,-7.10979579e-01
0.34200,-7.18585204e-01
0.34400,-7.26114000e-01
0.34600,-7.33566007e-01
0.34800,-7.40941277e-01
0.35000,-7.48239877e-01
0.35200,-7.55461887e-01
0.35400,-7.62607399e-01
0.35600,-7.69676521e-01
0.35800,-7.76669369e-01
0.36000,-7.83586073e-01
0.36200,-7.90426776e-01
0.36400,-7.97191629e-01
0.36600,-8.03880797e-01
0.36800,-8.10494454e-01
0.37000,-8.17032784e-01
0.37200,-8.23495981e-01
0.37400,-8.29884249e-01
0.37600,-8.36197802e-01
0.37800,-8.42436861e-01
0.38000,-8.48601658e-01
0.38200,-8.54692431e-01
0.38400,-8.60709429e-01
0.38600,-8.66652906e-01
0.38800,-8.72523127e-01
0.39000,-8.78320360e-01
0.39200,-8.84044884e-01
0.39400,-8.89696982e-01
0.39600,-8.95276947e-01
0.39800,-9.00785074e-01
0.40000,-9.06221669e-01
0.40200,-9.11587039e-01
0.40400,-9.16881501e-01
0.40600,-9.22105374e-01
0.40800,-9.27258986e-01
0.41000,-9.32342666e-01
0.41200,-9.37356751e-01
0.41400,-9.42301582e-01
0.41600,-9.47177503e-01
0.41800,-9.51984864e-01
0.42000,-9.56724018e-01
0.42200,-9.61395324e-01
0.42400,-9.65999141e-01
0.42600,-9.70535836e-01
0.42800,-9.75005775e-01
0.43000,-9.79409332e-01
0.43200,-9.83746880e-01
0.43400,-9.88018798e-01
0.43600,-9.92225465e-01
0.43800,-9.96367265e-01
0.44000,-1.00044458e+00
0.44200,-1.00445781e+00
0.44400,-1.00840733e+00
0.44600,-1.01229354e+00
0.44800,-1.01611684e+00
0.45000,-1.01987761e+00
0.45200,-1.02357627e+00
0.45400,-1.02721320e+00
0.45600,-1.03078880e+00
0.45800,-1.03430349e+00
0.46000,-1.03775767e+00
0.46200,-1.04115173e+00
0.46400,-1.04448609e+00
0.46600,-1.04776116e+00
0.46800,-1.05097733e+00
0.47000,-1.05413502e+00
0.47200,-1.05723464e+00
0.47400,-1.06027660e+00
0.47600,-1.06326131e+00
0.47800,-1.06618917e+00
0.48000,-1.06906061e+00
0.48200,-1.07187602e+00
0.48400,-1.07463583e+00
0.48600,-1.07734043e+00
0.48800,-1.07999026e+00
0.49000,-1.08258571e+00
0.49200,-1.08512719e+00
0.49400,-1.08761512e+00
0.49600,-1.09004991e+00
0.49800,-1.09243197e+00
0.50000,-1.09476170e+00
0.50200,-1.09703952e+00
0.50400,-1.09926584e+00
0.50600,-1.10144106e+00
0.50800,-1.10356558e+00
0.51000,-1.10563983e+00
0.51200,-1.10766419e+00
0.51400,-1.10963909e+00
0.51600,-1.11156491e+00
0.51800,-1.11344207e+00
0.52000,-1.11527096e+00
0.52200,-1.11705199e+00
0.52400,-1.11878556e+00
0.52600,-1.12047206e+00
0.52800,-1.12211190e+00
0.53000,-1.12370546e+00
0.53200,-1.12525315e+00
0.53400,-1.12675535e+00
0.53600,-1.12821247e+00
0.53800,-1.12962489e+00
0.54000,-1.13099300e+00
0.54200,-1.13231719e+00
0.54400,-1.13359785e+00
0.54600,-1.13483535e+00
0.54800,-1.13603010e+00
0.55000,-1.13718246e+00
0.55200,-1.13829282e+00
0.55400,-1.13936155e+00
0.55600,-1.14038905e+00
0.55800,-1.14137567e+00
0.56000,-1.14232179e+00
0.56200,-1.14322780e+00
0.56400,-1.14409405e+00
0.56600,-1.14492092e+00
0.56800,-1.14570877e+00
0.57000,-1.14645797e+00
0.57200,-1.14716888e+00
0.57400,-1.14784187e+00
0.57600,-1.14847729e+00
0.57800,-1.14907550e+00
0.58000,-1.14963686e+00
0.58200,-1.15016172e+00
0.58400,-1.15065044e+00
0.58600,-1.15110337e+00
0.58800,-1.15152084e+00
0.59000,-1.15190322e+00
0.59200,-1.15225084e+00
0.59400,-1.15256405e+00
0.59600,-1.15284319e+00
0.59800,-1.15308860e+00
0.60000,-1.15330061e+00
0.60200,-1.15347956e+00
0.60400,-1.15362578e+00
0.60600,-1.15373961e+00
0.60800,-1.15382136e+00
0.61000,-1.15387138e+00
0.61200,-1.15388998e+00
0.61400,-1.15387748e+00
0.61600,-1.15383421e+00
0.61800,-1.15376048e+00
0.62000,-1.15365662e+00
0.62200,-1.15352294e+00
0.62400,-1.15335974e+00
0.62600,-1.15316734e+00
0.62800,-1.15294606e+00
0.63000,-1.15269618e+00
0.63200,-1.15241803e+00
0.63400,-1.15211190e+00
0.63600,-1.15177809e+00
0.63800,-1.15141690e+00
0.64000,-1.15102863e+00
0.64200,-1.15061357e+00
0.64400,-1.15017201e+00
0.64600,-1.14970425e+00
0.64800,-1.14921057e+00
0.65000,-1.14869126e+00
0.65200,-1.14814660e+00
0.65400,-1.14757687e+00
0.65600,-1.14698236e+00
0.65800,-1.14636334e+00
0.66000,-1.14572009e+00
0.66200,-1.14505289e+00
0.66400,-1.14436199e+00
0.66600,-1.14364769e+00
0.66800,-1.14291023e+00
0.67000,-1.14214990e+00
0.67200,-1.14136695e+00
0.67400,-1.14056164e+00
0.67600,-1.13973424e+00
0.67800,-1.13888500e+00
0.68000,-1.13801419e+00
0.68200,-1.13712205e+00
0.68400,-1.13620883e+00
0.68600,-1.13527479e+00
0.68800,-1.13432018e+00
0.69000,-1.13334524e+00
0.69200,-1.13235021e+00
0.69400,-1.13133535e+00
0.69600,-1.13030089e+00
0.69800,-1.12924706e+00
0.70000,-1.12817412e+00
0.70200,-1.12708228e+00
0.70400,-1.12597179e+00
0.70600,-1.12484288e+00
0.70800,-1.12369577e+00
0.71000,-1.12253069e+00
0.71200,-1.12134788e+00
0.71400,-1.12014755e+00
0.71600,-1.11892993e+00
0.71800,-1.11769523e+00
0.72000,-1.11644368e+00
0.72200,-1.11517549e+00
0.72400,-1.11389087e+00
0.72600,-1.11259005e+00
0.72800,-1.11127323e+00
0.73000,-1.10994062e+00
0.73200,-1.10859244e+00
0.73400,-1.10722887e+00
0.73600,-1.10585014e+00
0.73800,-1.10445644e+00
0.74000,-1.10304798e+00
0.74200,-1.10162495e+00
0.74400,-1.10018756e+00
0.74600,-1.09873599e+00
0.74800,-1.09727044e+00
0.75000,-1.09579111e+00
0.75200,-1.09429819e+00
0.75400,-1.09279186e+00
0.75600,-1.09127231e+00
0.75800,-1.08973974e+00
0.76000,-1.08819432e+00
0.76200,-1.08663623e+00
0.76400,-1.08506567e+00
0.76600,-1.08348280e+00
0.76800,-1.08188781e+00
0.77000,-1.08028087e+00
0.77200,-1.07866216e+00
0.77400,-1.07703186e+00
0.77600,-1.07539012e+00
0.77800,-1.07373713e+00
0.78000,-1.07207306e+00
0.78200,-1.07039806e+00
0.78400,-1.06871231e+00
0.78600,-1.06701597e+00
0.78800,-1.06530921e+00
0.79000,-1.06359218e+00
0.79200,-1.06186505e+00
0.79400,-1.06012797e+00
0.79600,-1.05838110e+00
0.79800,-1.05662460e+00
0.80000,-1.05485862e+00
0.80200,-1.05308332e+00
0.80400,-1.05129884e+00
0.80600,-1.04950534e+00
0.80800,-1.04770296e+00
0.81000,-1.04589186e+00
0.81200,-1.04407217e+00
0.81400,-1.04224404e+00
0.81600,-1.04040763e+00
0.81800,-1.03856306e+00
0.82000,-1.03671047e+00
0.82200,-1.03485002e+00
0.82400,-1.03298183e+00
0.82600,-1.03110605e+00
0.82800,-1.02922281e+00
0.83000,-1.02733223e+00
0.83200,-1.02543447e+00
0.83400,-1.02352964e+00
0.83600,-1.02161787e+00
0.83800,-1.01969931e+00
0.84000,-1.01777407e+00
0.84200,-1.01584228e+00
0.84400,-1.01390407e+00
0.84600,-1.01195956e+00
0.84800,-1.01000887e+00
0.85000,-1.00805213e+00
0.85200,-1.00608946e+00
0.85400,-1.00412098e+00
0.85600,-1.00214680e+00
0.85800,-1.00016704e+00
0.86000,-9.98181821e-01
0.86200,-9.96191257e-01
0.86400,-9.94195461e-01
0.86600,-9.92194545e-01
0.86800,-9.90188622e-01
0.87000,-9.88177802e-01
0.87200,-9.86162194e-01
0.87400,-9.84141906e-01
0.87600,-9.82117047e-01
0.87800,-9.80087723e-01
0.88000,-9.78054038e-01
0.88200,-9.76016097e-01
0.88400,-9.73974003e-01
0.88600,-9.71927859e-01
0.88800,-9.69877764e-01
0.89000,-9.67823821e-01
0.89200,-9.65766126e-01
0.89400,-9.63704780e-01
0.89600,-9.61639878e-01
0.89800,-9.59571517e-01
0.90000,-9.57499792e-01
0.90200,-9.55424797e-01
0.90400,-9.53346625e-01
0.90600,-9.51265370e-01
0.90800,-9.49181121e-01
0.91000,-9.47093970e-01
0.91200,-9.45004006e-01
0.91400,-9.42911317e-01
0.91600,-9.40815992e-01
0.91800,-9.38718116e-01
0.92000,-9.36617776e-01
0.92200,-9.34515057e-01
0.92400,-9.32410043e-01
0.92600,-9.30302816e-01
0.92800,-9.28193460e-01
0.93000,-9.26082056e-01
0.93200,-9.23968685e-01
0.93400,-9.21853425e-01
0.93600,-9.19736357e-01
0.93800,-9.17617558e-01
0.94000,-9.15497106e-01
0.94200,-9.13375076e-01
0.94400,-9.11251546e-01
0.94600,-9.09126588e-01
0.94800,-9.07000279e-01
0.95000,-9.04872690e-01
0.95200,-9.02743895e-01
0.95400,-9.00613965e-01
0.95600,-8.98482971e-01
0.95800,-8.96350983e-01
0.96000,-8.94218070e-01
0.96200,-8.92084302e-01
0.96400,-8.89949746e-01
0.96600,-8.87814469e-01
0.96800,-8.85678538e-01
0.97000,-8.83542019e-01
0.97200,-8.81404976e-01
0.97400,-8.79267473e-01
0.97600,-8.77129576e-01
0.97800,-8.74991345e-01
