r_bohr,u_c,V_H_c
0.00200,3.35448169e-02,1.84718247e+00
0.00400,6.56212118e-02,1.84764766e+00
0.00600,9.62687876e-02,1.84767859e+00
0.00800,1.25526304e-01,1.84730365e+00
0.01000,1.53431682e-01,1.84654990e+00
0.01200,1.80022002e-01,1.84544305e+00
0.01400,2.05333516e-01,1.84400759e+00
0.01600,2.29401651e-01,1.84226677e+00
0.01800,2.52261020e-01,1.84024270e+00
0.02000,2.73945426e-01,1.83795637e+00
0.02200,2.94487880e-01,1.83542774e+00
0.02400,3.13920608e-01,1.83267572e+00
0.02600,3.32275064e-01,1.82971827e+00
0.02800,3.49581941e-01,1.82657241e+00
0.03000,3.65871189e-01,1.82325429e+00
0.03200,3.81172023e-01,1.81977918e+00
0.03400,3.95512942e-01,1.81616157e+00
0.03600,4.08921737e-01,1.81241516e+00
0.03800,4.21425511e-01,1.80855291e+00
0.04000,4.33050693e-01,1.80458706e+00
0.04200,4.43823047e-01,1.80052920e+00
0.04400,4.53767694e-01,1.79639024e+00
0.04600,4.62909119e-01,1.79218050e+00
0.04800,4.71271191e-01,1.78790971e+00
0.05000,4.78877176e-01,1.78358703e+00
0.05200,4.85749750e-01,1.77922108e+00
0.05400,4.91911012e-01,1.77481998e+00
0.05600,4.97382500e-01,1.77039136e+00
0.05800,5.02185204e-01,1.76594239e+00
0.06000,5.06339579e-01,1.76147977e+00
0.06200,5.09865558e-01,1.75700982e+00
0.06400,5.12782565e-01,1.75253843e+00
0.06600,5.15109529e-01,1.74807112e+00
0.06800,5.16864892e-01,1.74361303e+00
0.07000,5.18066629e-01,1.73916897e+00
0.07200,5.18732251e-01,1.73474342e+00
0.07400,5.18878823e-01,1.73034053e+00
0.07600,5.18522973e-01,1.72596417e+00
0.07800,5.17680903e-01,1.72161790e+00
0.08000,5.16368400e-01,1.71730504e+00
0.08200,5.14600846e-01,1.71302864e+00
0.08400,5.12393231e-01,1.70879150e+00
0.08600,5.09760159e-01,1.70459620e+00
0.08800,5.06715860e-01,1.70044509e+00
0.09000,5.03274201e-01,1.69634031e+00
0.09200,4.99448692e-01,1.69228382e+00
0.09400,4.95252496e-01,1.68827737e+00
0.09600,4.90698440e-01,1.68432256e+00
0.09800,4.85799022e-01,1.68042078e+00
0.10000,4.80566419e-01,1.67657331e+00
0.10200,4.75012494e-01,1.67278123e+00
0.10400,4.69148808e-01,1.66904552e+00
0.10600,4.62986623e-01,1.66536699e+00
0.10800,4.56536913e-01,1.66174636e+00
0.11000,4.49810367e-01,1.65818419e+00
0.11200,4.42817403e-01,1.65468095e+00
0.11400,4.35568167e-01,1.65123699e+00
0.11600,4.28072546e-01,1.64785258e+00
0.11800,4.20340171e-01,1.64452788e+00
0.12000,4.12380422e-01,1.64126296e+00
0.12200,4.04202441e-01,1.63805780e+00
0.12400,3.95815130e-01,1.63491232e+00
0.12600,3.87227162e-01,1.63182636e+00
0.12800,3.78446982e-01,1.62879967e+00
0.13000,3.69482819e-01,1.62583196e+00
0.13200,3.60342686e-01,1.62292287e+00
0.13400,3.51034387e-01,1.62007199e+00
0.13600,3.41565524e-01,1.61727885e+00
0.13800,3.31943496e-01,1.61454293e+00
0.14000,3.22175511e-01,1.61186366e+00
0.14200,3.12268588e-01,1.60924045e+00
0.14400,3.02229560e-01,1.60667265e+00
0.14600,2.92065078e-01,1.60415957e+00
0.14800,2.81781620e-01,1.60170052e+00
0.15000,2.71385491e-01,1.59929473e+00
0.15200,2.60882827e-01,1.59694145e+00
0.15400,2.50279601e-01,1.59463987e+00
0.15600,2.39581628e-01,1.59238918e+00
0.15800,2.28794564e-01,1.59018853e+00
0.16000,2.17923915e-01,1.58803707e+00
0.16200,2.06975037e-01,1.58593393e+00
0.16400,1.95953141e-01,1.58387820e+00
0.16600,1.84863298e-01,1.58186899e+00
0.16800,1.73710439e-01,1.57990539e+00
0.17000,1.62499360e-01,1.57798646e+00
0.17200,1.51234725e-01,1.57611129e+00
0.17400,1.39921070e-01,1.57427892e+00
0.17600,1.28562805e-01,1.57248842e+00
0.17800,1.17164217e-01,1.57073884e+00
0.18000,1.05729474e-01,1.56902923e+00
0.18200,9.42626260e-02,1.56735863e+00
0.18400,8.27676093e-02,1.56572610e+00
0.18600,7.12482485e-02,1.56413068e+00
0.18800,5.97082594e-02,1.56257142e+00
0.19000,4.81512512e-02,1.56104738e+00
0.19200,3.65807297e-02,1.55955760e+00
0.19400,2.50000991e-02,1.55810115e+00
0.19600,1.34126645e-02,1.55667710e+00
0.19800,1.82163460e-03,1.55528450e+00
0.20000,-9.76987624e-03,1.55392245e+00
0.20200,-2.13588459e-02,1.55259002e+00
0.20400,-3.29423419e-02,1.55128630e+00
0.20600,-4.45175200e-02,1.55001039e+00
0.20800,-5.60816212e-02,1.54876139e+00
0.21000,-6.76319704e-02,1.54753843e+00
0.21200,-7.91659740e-02,1.54634062e+00
0.21400,-9.06811183e-02,1.54516711e+00
0.21600,-1.02174967e-01,1.54401703e+00
