r_bohr,u_c,V_H_c
0.00200,3.47434646e-02,1.19931062e+00
0.00400,6.67255225e-02,1.19972610e+00
0.00600,9.60735437e-02,1.19963343e+00
0.00800,1.22910290e-01,1.19909266e+00
0.01000,1.47353978e-01,1.19815874e+00
0.01200,1.69518363e-01,1.19688186e+00
0.01400,1.89512836e-01,1.19530780e+00
0.01600,2.07442539e-01,1.19347824e+00
0.01800,2.23408478e-01,1.19143109e+00
0.02000,2.37507653e-01,1.18920076e+00
0.02200,2.49833184e-01,1.18681842e+00
0.02400,2.60474443e-01,1.18431225e+00
0.02600,2.69517185e-01,1.18170767e+00
0.02800,2.77043679e-01,1.17902756e+00
0.03000,2.83132835e-01,1.17629247e+00
0.03200,2.87860335e-01,1.17352076e+00
0.03400,2.91298753e-01,1.17072885e+00
0.03600,2.93517676e-01,1.16793130e+00
0.03800,2.94583824e-01,1.16514103e+00
0.04000,2.94561161e-01,1.16236940e+00
0.04200,2.93511002e-01,1.15962638e+00
0.04400,2.91492126e-01,1.15692064e+00
0.04600,2.88560867e-01,1.15425968e+00
0.04800,2.84771221e-01,1.15164994e+00
0.05000,2.80174933e-01,1.14909687e+00
0.05200,2.74821592e-01,1.14660502e+00
0.05400,2.68758710e-01,1.14417814e+00
0.05600,2.62031811e-01,1.14181924e+00
0.05800,2.54684508e-01,1.13953068e+00
0.06000,2.46758575e-01,1.13731421e+00
0.06200,2.38294026e-01,1.13517102e+00
0.06400,2.29329176e-01,1.13310184e+00
0.06600,2.19900716e-01,1.13110695e+00
0.06800,2.10043770e-01,1.12918623e+00
0.07000,1.99791958e-01,1.12733924e+00
0.07200,1.89177454e-01,1.12556520e+00
0.07400,1.78231045e-01,1.12386307e+00
0.07600,1.66982178e-01,1.12223159e+00
0.07800,1.55459018e-01,1.12066925e+00
0.08000,1.43688493e-01,1.11917440e+00
0.08200,1.31696344e-01,1.11774522e+00
0.08400,1.19507168e-01,1.11637974e+00
0.08600,1.07144463e-01,1.11507591e+00
0.08800,9.46306697e-02,1.11383158e+00
0.09000,8.19872130e-02,1.11264451e+00
0.09200,6.92345383e-02,1.11151243e+00
0.09400,5.63921503e-02,1.11043301e+00
0.09600,4.34786488e-02,1.10940390e+00
0.09800,3.05117625e-02,1.10842273e+00
0.10000,1.75083831e-02,1.10748713e+00
0.10200,4.48459638e-03,1.10659473e+00
0.10400,-8.54428644e-03,1.10574316e+00
0.10600,-2.15636994e-02,1.10493010e+00
0.10800,-3.45597931e-02,1.10415325e+00
0.11000,-4.75194074e-02,1.10341031e+00
0.11200,-6.04300448e-02,1.10269907e+00
0.11400,-7.32798452e-02,1.10201734e+00
0.11600,-8.60575609e-02,1.10136296e+00
0.11800,-9.87525335e-02,1.10073387e+00
0.12000,-1.11354671e-01,1.10012801e+00
0.12200,-1.23854425e-01,1.09954342e+00
0.12400,-1.36242771e-01,1.09897819e+00
0.12600,-1.48511188e-01,1.09843045e+00
0.12800,-1.60651637e-01,1.09789842e+00
0.13000,-1.72656543e-01,1.09738037e+00
0.13200,-1.84518779e-01,1.09687464e+00
0.13400,-1.96231646e-01,1.09637963e+00
0.13600,-2.07788855e-01,1.09589381e+00
0.13800,-2.19184516e-01,1.09541572e+00
0.14000,-2.30413115e-01,1.09494395e+00
0.14200,-2.41469506e-01,1.09447717e+00
0.14400,-2.52348891e-01,1.09401410e+00
0.14600,-2.63046810e-01,1.09355354e+00
0.14800,-2.73559124e-01,1.09309433e+00
0.15000,-2.83882005e-01,1.09263540e+00
0.15200,-2.94011922e-01,1.09217572e+00
