r_bohr,u_c,V_H_c
0.00200,9.62005528e-02,3.98948062e+00
0.00400,1.84765284e-01,3.99266791e+00
0.00600,2.66055844e-01,3.99196192e+00
0.00800,3.40420123e-01,3.98782327e+00
0.01000,4.08192487e-01,3.98067281e+00
0.01200,4.69694070e-01,3.97089449e+00
0.01400,5.25233101e-01,3.95883814e+00
0.01600,5.75105262e-01,3.94482200e+00
0.01800,6.19594070e-01,3.92913514e+00
0.02000,6.58971270e-01,3.91203969e+00
0.02200,6.93497234e-01,3.89377293e+00
0.02400,7.23421371e-01,3.87454922e+00
0.02600,7.48982524e-01,3.85456183e+00
0.02800,7.70409375e-01,3.83398460e+00
0.03000,7.87920834e-01,3.81297353e+00
0.03200,8.01726429e-01,3.79166818e+00
0.03400,8.12026676e-01,3.77019305e+00
0.03600,8.19013448e-01,3.74865884e+00
0.03800,8.22870324e-01,3.72716356e+00
0.04000,8.23772932e-01,3.70579360e+00
0.04200,8.21889277e-01,3.68462477e+00
0.04400,8.17380058e-01,3.66372317e+00
0.04600,8.10398970e-01,3.64314603e+00
0.04800,8.01092998e-01,3.62294253e+00
0.05000,7.89602692e-01,3.60315448e+00
0.05200,7.76062440e-01,3.58381702e+00
0.05400,7.60600721e-01,3.56495922e+00
0.05600,7.43340352e-01,3.54660463e+00
0.05800,7.24398720e-01,3.52877184e+00
0.06000,7.03888010e-01,3.51147494e+00
0.06200,6.81915420e-01,3.49472398e+00
0.06400,6.58583360e-01,3.47852536e+00
0.06600,6.33989658e-01,3.46288221e+00
0.06800,6.08227740e-01,3.44779475e+00
0.07000,5.81386815e-01,3.43326060e+00
0.07200,5.53552043e-01,3.41927507e+00
0.07400,5.24804704e-01,3.40583144e+00
0.07600,4.95222353e-01,3.39292119e+00
0.07800,4.64878970e-01,3.38053425e+00
0.08000,4.33845109e-01,3.36865917e+00
0.08200,4.02188032e-01,3.35728333e+00
0.08400,3.69971847e-01,3.34639313e+00
0.08600,3.37257631e-01,3.33597411e+00
0.08800,3.04103553e-01,3.32601113e+00
0.09000,2.70564995e-01,3.31648847e+00
0.09200,2.36694662e-01,3.30738997e+00
0.09400,2.02542690e-01,3.29869910e+00
0.09600,1.68156750e-01,3.29039913e+00
0.09800,1.33582150e-01,3.28247315e+00
0.10000,9.88619270e-02,3.27490416e+00
0.10200,6.40369433e-02,3.26767517e+00
0.10400,2.91459722e-02,3.26076924e+00
0.10600,-5.77421546e-03,3.25416955e+00
0.10800,-4.06887704e-02,3.24785944e+00
0.11000,-7.55646855e-02,3.24182245e+00
0.11200,-1.10370721e-01,3.23604238e+00
0.11400,-1.45077331e-01,3.23050331e+00
0.11600,-1.79656594e-01,3.22518961e+00
0.11800,-2.14082145e-01,3.22008603e+00
0.12000,-2.48329115e-01,3.21517765e+00
0.12200,-2.82374061e-01,3.21044993e+00
0.12400,-3.16194915e-01,3.20588873e+00
0.12600,-3.49770919e-01,3.20148034e+00
0.12800,-3.83082577e-01,3.19721142e+00
0.13000,-4.16111597e-01,3.19306911e+00
0.13200,-4.48840841e-01,3.18904094e+00
0.13400,-4.81254279e-01,3.18511489e+00
0.13600,-5.13336937e-01,3.18127938e+00
0.13800,-5.45074857e-01,3.17752327e+00
0.14000,-5.76455048e-01,3.17383586e+00
0.14200,-6.07465452e-01,3.17020686e+00
0.14400,-6.38094894e-01,3.16662643e+00
0.14600,-6.68333053e-01,3.16308518e+00
0.14800,-6.98170417e-01,3.15957409e+00
0.15000,-7.27598253e-01,3.15608460e+00
0.15200,-7.56608571e-01,3.15260853e+00
